,disc_year,discoverymethod,count
77,1992,Pulsar Timing,6
97,1994,Pulsar Timing,2
82,1995,Radial Velocity,5
53,1996,Radial Velocity,41
86,1997,Radial Velocity,4
55,1998,Radial Velocity,39
37,1999,Radial Velocity,80
38,2000,Radial Velocity,77
46,2001,Radial Velocity,58
22,2002,Radial Velocity,134
69,2002,Transit,10
113,2003,Pulsar Timing,1
34,2003,Radial Velocity,86
76,2004,Imaging,6
49,2004,Transit,53
24,2004,Radial Velocity,112
108,2004,Microlensing,2
20,2005,Radial Velocity,152
75,2005,Microlensing,7
111,2005,Imaging,1
91,2006,Microlensing,3
73,2006,Imaging,7
43,2006,Transit,66
39,2006,Radial Velocity,72
23,2007,Radial Velocity,126
16,2007,Transit,192
112,2007,Pulsation Timing Variations,1
117,2007,Imaging,1
57,2008,Imaging,28
70,2008,Microlensing,9
25,2008,Radial Velocity,111
18,2008,Transit,180
83,2009,Microlensing,5
15,2009,Transit,224
17,2009,Radial Velocity,191
109,2009,Eclipse Timing Variations,2
27,2010,Radial Velocity,108
62,2010,Imaging,14
84,2010,Microlensing,4
10,2010,Transit,473
87,2010,Eclipse Timing Variations,4
116,2011,Pulsar Timing,1
88,2011,Imaging,3
89,2011,Transit Timing Variations,3
107,2011,Orbital Brightness Modulation,2
106,2011,Microlensing,2
29,2011,Radial Velocity,105
74,2011,Eclipse Timing Variations,7
5,2011,Transit,910
60,2012,Microlensing,15
33,2012,Radial Velocity,92
3,2012,Transit,987
95,2012,Imaging,3
115,2012,Eclipse Timing Variations,1
102,2012,Transit Timing Variations,2
64,2013,Orbital Brightness Modulation,13
47,2013,Radial Velocity,57
114,2013,Astrometry,1
94,2013,Transit Timing Variations,3
59,2013,Imaging,16
4,2013,Transit,912
63,2013,Microlensing,13
61,2014,Microlensing,14
1,2014,Transit,8794
105,2014,Imaging,2
26,2014,Transit Timing Variations,108
32,2014,Radial Velocity,99
96,2014,Orbital Brightness Modulation,3
8,2015,Transit,783
68,2015,Microlensing,10
67,2015,Imaging,11
104,2015,Eclipse Timing Variations,2
28,2015,Radial Velocity,106
51,2016,Microlensing,49
0,2016,Transit,12732
35,2016,Radial Velocity,84
119,2016,Pulsation Timing Variations,1
103,2016,Imaging,2
120,2016,Transit Timing Variations,1
118,2017,Eclipse Timing Variations,1
110,2017,Pulsar Timing,2
124,2017,Transit Timing Variations,1
78,2017,Imaging,5
56,2017,Microlensing,29
41,2017,Radial Velocity,68
11,2017,Transit,465
6,2018,Transit,835
42,2018,Radial Velocity,67
122,2018,Transit Timing Variations,1
121,2018,Eclipse Timing Variations,1
48,2018,Microlensing,56
80,2018,Imaging,5
30,2019,Radial Velocity,102
13,2019,Transit,378
92,2019,Transit Timing Variations,3
44,2019,Microlensing,61
123,2019,Disk Kinematics,1
101,2019,Eclipse Timing Variations,2
79,2019,Imaging,5
125,2020,Transit Timing Variations,1
9,2020,Transit,769
45,2020,Radial Velocity,58
50,2020,Microlensing,51
85,2020,Imaging,4
93,2021,Orbital Brightness Modulation,3
54,2021,Microlensing,41
2,2021,Transit,2504
31,2021,Radial Velocity,100
127,2021,Transit Timing Variations,1
71,2021,Imaging,9
12,2022,Transit,453
19,2022,Microlensing,172
100,2022,Eclipse Timing Variations,2
126,2022,Astrometry,1
90,2022,Transit Timing Variations,3
81,2022,Imaging,5
21,2022,Radial Velocity,139
40,2023,Radial Velocity,69
7,2023,Transit,821
36,2023,Microlensing,83
99,2023,Eclipse Timing Variations,2
72,2023,Imaging,9
66,2023,Transit Timing Variations,11
128,2023,Astrometry,1
58,2024,Radial Velocity,21
52,2024,Microlensing,45
65,2024,Imaging,11
14,2024,Transit,297
98,2024,Transit Timing Variations,2
129,2024,Pulsar Timing,1
